AAR	Scare Marla badly (5)
ACADEMIA	Claimed a cap is holding back school (8)
ACADEMIA	Reactionary targeted a California life in school (8)
ACADEMIC	In "Facade," Michael Learned? (8)
ACADIAN	One in Canada, peut-être? (7)
ACCIDENTS	and 15A. Watch lead pencil spin crazily as misfortunes may occur. (9,4,6)
ACCOLADES	Awards monkey with a cold case (9)
ACCOMMODATIONS	So, dot com maniac trashed lodgings (14)
ACCORD	Harmony with a C string (6)
ACCOSTS	Charges air-conditioning expenses (7)
ACCOUNT	Con cut a new deal in finances (7)
ACCOUNT	Explanation for Bill (7)
ACCRUE	Accumulate a carbon copy with regret (6)
ACCUS	Find fault with cabal's leader in lost cause (6)
ACERB	Acid destroyed brace (5)
ACERBIC	Bitter champion, rude at first with pen (7)
ACES	Top performers in SEC athletics coming from the East (4)
ACHE	Longing for a revolutionary (4)
ACHE	Sore teachers at heart (4)
ACHEHAPPEN	Each wanton desire (4); Pass fellow without a cap sitting on fence (6)
ACHERON	Sore, Guidry won, symbolically (7)
ACHES	Trains without commanding officer and suffers (5)
ACHIEVE	Get with a Chicago threesome, the night before a big event (7)
ACHILLESHEEL	A cold fish capturing woman in a vulnerable position (8,4)
ACHILLESHEELS	A cold fish embraces that woman's mortal weaknesses (8,5)
ACHTUNG	Heads of Asian countries hope the United Nations gives attention to Germany (7)
ACIDRAIN	Pollution from kind of power I use up (4 4)
ACIDTEST	Dictates questionably what constitutes proof (4,4)
ACME	Supplier of unreliable gadgetry is centrally located, enriching madman's schemes (4)
ACMES	Some of the best came stumbling south (5)
ACORN	A grain or a nut (5)
ACORN	Some kind of a nut with a foot problem (5)
ACQUIRE	Get a group of church singers heard (7)
ACROBAT	A Siamese is about to hold up the tumbler (7)
ACRONYM	A friend starting to make word from letters (7)
ACRONYM	A good friend married for a shortened term (7)
ACRONYM	Initials of buddy in radio band (7)
ACROPHOBIA	I bop a roach, disposed a fear of heights (10)
ACROSTICS	Puzzles with costar [sic] misspelled (9)
ACRYLIC	Duo from AC/DC adopting twisted lyric to "Plastic" (7)
ACTIVISTS	Act four sits unwell with outspoken opponents  (9)
ACTONEOWASCO	Beginning to play with energy -- this can make you solvent (3,3); Finger lake located in Idaho was cold (6)
ACTORS	Editors ousting Red agents (6)
ACTS	Does cast "Cats" (4)
ACUTEBILOXIE	Critical move, sheathing uranium processor's core; B-2 transports lox for Mississippi seafood-processing center; Cable channel is free, finally
ADAGE	Egad, a retracting saw (5)
ADAGES	More than one saying commercial gets old (6)
ADAGIO	Setting a leisurely pace in Nevada, GI oversleeps (6)
ADAMS	A mother's in Suriname for two American leaders (5)
ADAMSAPPLE	A cross-dresser may be given away by his pitch (a different kind of pitch is found in truly buxom) (5,5)
ADAPTIVE	A disreputable bar with busted tap inside is readily modified (8)
ADAPTS	Changes advertisement to "Rms to let" (6)
ADDICT	Freak did badly in performance (6)
ADDICTION	Drug problem for 100, in sum (9)
ADDITION	Joining tryout, Detroit's captain takes over at second (8)
ADDLE	Row (but not in front) and get mixed up (5)
ADDLED	Confounded and beat all but the top one (6)
ADDLED	Confused total was in front (6)
ADDLES	Spoils finally obtained in crooked deals (6)
ADDS	Puts together commercials for the audience (4)
ADENOIDS	Glands from some south Arabian people? (8)
ADHERE	Stick with spot - this spot (6)
ADIPOSE	Spot, I suggest, is fatty (7)
ADJUDICATE	Judge Judi, a cadet, gone astray (10)
ADLAISTEVENSON	Famous statesman in Senate's old, vain, incontinent (5,9)
ADLIB	Unprepared, a little gerbil darted the wrong way (2-3)
ADMEN	Marketing guys amend novel (5)
ADMINISTRATES	Ministers ordain art evil? I doctor a reversal (13)
ADMIRAL	Almost admire Mr. Gore, a naval officer (7)
ADMIRED	Delighted in commercial caught in a swamp (7)
ADMIRED	Praised muck in supplement (7)
ADMISSIONS	Acknowledgements of commercial responsibilities (10)
ADMIT	Let in mad, it stewed (5)
ADOLESCENT	Rise in allowance fo teenager?  Just the opposite! (10)
ADONIS	A Cambridge professor is a handsome guy (6)
ADORED	Flushed after fuss with beloved (6)
ADRENALIN	I learned an awful heartrate booster (10)
ADRIFT	Floating around because of Madison Avenue falling-out? (6)
ADSPEBOKTN	Totals from a dentist; Arrest the smell of your pits, OK?; Section of toilets are for King
ADULT	Movie rating implicit in Baghdad ultimatum (5)
ADULTERATION	Weakening praise surrounding TV's #1 drama (12)
ADULTERY	True lady mixed up in cheating (8)
ADULTS	Those who can view X-rated movies spot wild lust (6)
ADVANCE	Press on a ball bearing valve's opening (7)
ADVANCES	A ball's wrapping up Vivaldi's original overtures (8)
ADVANTAGE	A democratic leadership, time after time, is a benefit (9)
ADVENT	Come in to use van Ted crashed (6)
ADVENT	First appearance of ad with 'five' and 'ten' mixed up (6)
ADVERB	Leftmost members of audience disrupt Veep's entrance, roundly boo part of speech (6)
ADVERSE	Opposed to commercial lyrics. . . (7)
ADVERSE	Opposite qualifier, back off at single error (7)
ADVICE	Warning: Commercial sin (6)
ADVOCATE	Speak up for lawyer backing first two of candidates in ballot (8)
AECANAP	Larvae can appear to contain cure-all (7)
AEGEAN	Sea algae sabotage cetacean's final duets (6)
AERIE	Home that's high (and very light) by the Sound (5)
AESOP	A sit-up for fabulous guy? (5)
AESTHETES	Crank teases the art lovers (9)
AESTHETIC	Conforming to good taste, I cast thee out (9)
AETYS	Rock set my hat askew (8)
AFFAIR	Do a fortissimo tune (6)
AFFLUENT	One low grade flu specialist gets rich (8)
AFFORDED	Provided Air Force crossed water (8)
AFFRONTS	Shake off rants and insults (8)
AFLAME	A love on fire (6)
AFLAME	Burning love (6)
AFLUTTER	A Florida voice is agitated (8)
AFLUTTER	Agitated over a false liter total (8)
AFOOT	Air Force also brought back in action (5)
AFROAMERICAN	Possibly, someone from the U. S. A. F. is with wanderer I let go (4-8)
AFTERGLOW	Great flow dissipated into phosphorescent aura (9)
AFTERTAX	Extra fat clowns in net (5-3)
AGAINST	In contact with a Georgia institution (7)
AGAMEMNON	Greek hero's a stranger among men (9)
AGAPE	Open altruistic love (5)
AGAR	A fish culture (4)
AGATHA	Lady's name tag returned, spreading cry of discovery (6)
AGE	Ripen mangoes evenly (3)
AGED	Old GE ad recycled (4)
AGED	Old part of garage door (4)
AGELESSLY	Always heading off without getting paid (9)
AGENDA	A good finale to a program (6)
AGENDA	Age and trembling can cause list (6)
AGENDA	Plan a grand finale - Tchaikovsky's 4th (6)
AGENT	Gnat flitting about Ecuador's top delegate (5)
AGENT	Mother deserts Red spy (5)
AGES	Wisest ignoring limits for eons (4)
AGES	Years and years and years of pay without a bit of work (4)
AGGRAVATE	To make matters worse, Georgia left before Virginia, slipping into a series of heavy metal bars (9)
AGGRIEVE	Inflict injury on attorney general; express grief (8)
AGING	Don't start calling those who are growing old (5)
AGITATE	He played M. Hulot going west in "Time of Trouble" (7)
AGITATE	It splits marble and rock (7)
AGITATES	A megabillionaire controlling info tech arouses public feelings (8)
AGLET	Shoelace tip has baby bird losing its head (5)
AGNEW	Recalled former crossword editor, a vice president (5)
AGNOSTICS	These people don't know "Cats" song I arranged (9)
AGO	Past members of the American Guild of Organists (3)
AGONIES	Nothing taken in easing random pains (7)
AGONY	Driverless wagon approaches Y with great pains (5)
AGORA	Love to be included in playing a rag in the Public Market (5)
AGORA	Marketplace where goat loses tip of nose (5)
AGREE	Fair touchdown?
AGREE	the circled letters, read from left to right,
AGREED	Admitted to a craving (6)
AGREED	Okay! It's a good wind instrument (6)
AGREEMENT	Me in a green tent's ultimate in harmony (9)
AGRICULTURE	Sadly curtail urge for land cultivation (11)
AGUE	A plaster gets rid of low fever and chills (4)
AGUE	Chill and hazy after five (4)
AHA	Reaction a constructor hopes for in Tallahassee? (3)
AIDA	Opera that is, duh, sung (4)
AIDE	Raider shelled lieutenant (4)
AIDES	Assistants' crackpot ideas (5)
AIL	Upset in Versailles (3)
AIM	Goal of Spielberg movie, the first of millions (3)
AIR	Blonde loses face in room (3)
AIRED	Interest in a revolutionary activist's broadcast (5)
AIRHEAD	Winning over the heart of quirky scatterbrain (7)
AIRLINE	Rocky, Neil, Ira, or Delta, perhaps (7)
AIRLINES	They fly better in Israel (8)
AIRPLANES	These go far in repair plan, essentially (9)
AIRROUTE	Flight path is excellent on takeoff, irregular out, and easy at termination (3,5)
AIRS	Couples after heading off pretentiousness (4)
AIRSHIPS	Broadcasts message addendum after greeting to fliers (8)
AIRSPEED	See rapid development of rate of flight (8)
AIRSQUINIELA	Affectation put on by a collection agency (4); Aquiline dog racing bet (8)
AIRSTREAM	Rita Mears breaks wind near a plane (9)
AISLE	A key passage (5)
AISLE	I'll scream, "Gangway!" (5)
AISLE	Lost sail heading for eastern passage (5)
AJAX	First class knaves talking to Greek hero (4)
ALABASTER	Altar base formed with white stone (9)
ALABASTER	Smooth and white, in the style of a cooking utensil (9)
ALACARTE	A claret, a rum, not part of the dinner price (1,2,5)
ALAMO	Alma shot nothing at battle (5)
ALAMO	Historic mission -- part of uprising Mexico maladministered (5)
ALAMODE	You should remember this about French menu phrase (1,2,4)
ALBANY	Opening of animal pound near a NY city (6)
ALBATROSS	Bart's also cast as Big Bird (9)
ALBEDOS	Ray's about to remain undisturbed by  reflections  (7)
ALBUM	Pathological bumbler holds a record (5)
ALDA	Alan who's famous for playing doctor is embraced by sensual dame (4)
ALDRIN	Buzz, delirious, laid RN (6)
ALERT	Prepared for real active time (5)
ALERT	Quick beer, right? (5)
ALERTED	Warned of related crackpot (7)
ALEWIFE	When you work it out, Alfie, we fish (7)
ALEXANDER	Greenspan hugs former wife and the German control freak Haig (9)
ALEXANDRIA	Beer strike and foul air in D.C. suburb (10)
ALGORITHM	Decision tree's unusual goal: mirth? (9)
ALGORITHM	Mathematician's analysis of former Vice President's movements? (9)
ALI	At heart, a calico is a fighter (3)
ALI	The Greatest Country without a leader (3)
ALIBI	Bail out first person with an excuse (5)
ALIBI	Bengali bigamist claimed he was elsewhere at the time. (5)
ALIBI	Crackpot I bail out (5)
ALIBI	In a movement I joined, I was elsewhere (5)
ALIBI	Make excuses for a liberal with an ego (5)
ALIBIS	Online bookseller lacks right stories (6)
ALIEN	Neil Armstrong initially brought back extraterrestrial (5)
ALIENATED	Estranged, Daniel ate nuts (9)
ALIGHT	Settle for a blonde (6)
ALIGN	A piece of scripted dialog sounded true (5)
ALIGNS	Busy signal justifies... (6)
ALIKE	The same as Gore and Eisenhower (5)
ALIKE	The same ideal I keep protected(5)
ALIKE	Undifferentiated iodine found in polluted lake (5)
ALISON	In casino, Sri Lanka turned away this woman (6)
ALIST	Muhammad's first of the desirable ones (1-4)
ALIVE	Almost all I have is lousy (5)
ALL	16a-20a-29a
ALL	Every trip starts late (3)
ALLEGE	Claim echoes from an outcropping (6)
ALLEGE	Mention a bedrock claim (6)
ALLEGEDLY	Lee gladly shredded, according to statement (9)
ALLEGES	Claims, and retracts, "Actress Ward Uses Hair Product" (7)
ALLEGRO	Piece of animal leg rotted quickly (7)
ALLERGY	Sneezy's problem largely fixed (7)
ALLIANCE	Loyalty, e.g. missing in formal union (8)
ALLIE	Loitered after the start, but stayed together (6)
ALLIGATORS	Wild gorilla sat on Izod shirts. (10)
ALLMIXEDUP	Hopelessly confused, I am pulled apart about my vote (3,5,2)
ALLOT	Grant uninitiated vote (5)
ALLRIGHT	Surely sounds like one making points? (3 5)
ALLROUND	Around around fifty-fifty, comprehensive (3-5)
ALLSEEING	Knowing everything, signal Lee frantically (3-6)
ALLUREMENTS	Enticements disrupt mental rules (11)
ALLY	Colleague is without ethics, without love (4)
ALLY	Ms. McBeal in ballyhoo (4)
ALMIGHTY	Gore may, by end of January, be the most powerful (8)
ALOFT	Float, drifting, in the air (5)
ALOHA	A lot of Hawaiian addresses, at their onset! (5)
ALONE	Only one mortgage reported (5)
ALOOFLY	How a snob might react when an insect is seen around toilet (7)
ALP	Height is equal to three-fifths of the first one (3)
ALPHA	A record laughing sound...it's a first (5)
ALPINE	High altitude beer is given decoration (6)
ALPINISTS	Climbers in tumbling tailspins (9)
ALREADY	Area adjoining small back yard is holding fifty by now (7)
ALRIGHT	Land filled with rain is OK (7)
ALSO	Formulated loan scheme as well (4)
ALSO	It's all quite audible, too (4)
ALSO	Kernel of primal sorrow is hidden too (4)
ALSORAN	Al, Ron's a poor loser (4-3)
ALTAR	Earliest of ancient Latin tradition and ritual in place of sacrifice (5)
ALTER	Everyone in attendance is sane (3,5)
ALTEREGO	Evil twin, perhaps, changed ear to leg (5,3)
ALTEREGO	Singer admits actor Richard rejected bosom buddy (5,3)
ALTERNATE	A large sea bird swallowed every second (9)
ALTERNATOR	A rattler on bent car part (10)
ALTIMETER	About time to change instrument used to measure elevation (9)
ALTO	Cut off extremities of former Bond portrayer for higher voice (4)
ALTOGETHER	Nude, high in the Sierra Madres? Good heavens (10)
ALUMINUM	Element of ACLU uncivil, silent, about elected official (8)
ALUMNI	Within limits, slander one group of old students (6)
AMADA	Ships weapon to a prosecutor (6)
AMADEUS	Cinema made use internally of Oscar-winning film (7)
AMASSERS	Pack rats' mess Sara reorganized (8)
AMATEUR	A good friend to union, radical is not doing it for money (7)
AMATEUR	Announced at first match: "You are on the net.  This is unprofessional." (7)
AMATEUR	Met aura frazzled neophyte  (7)
AMBASSADORIAL	Like a high ranking diplomat's awful ambrosia salad (13)
AMBERGRIS	Perfume ingredient extracted from lamb ..... er, gristle (9)
AMBLING	Walking leisurely, risking starting late (7)
AMEND	Change men in commercial (5)
AMERICA	A sampling of Ms. Jong's great power (7)
AMERICA	Some steamer I caught for Columbia (7)
AMERICAN	Clapton is captivated by a piece from the United States (8)
AMERICANA	A cinerama restored examples of a country's quirks (9)
AMERICANA	U.S culture forged A.R.C., N.E.A., A.I.M. (9)
AMIABLE	Do I have the capacity to be good-natured? (7)
AMINO	Nice friend flipped on some kind of acid (5)
AMNESIA	Men going mad in far east blackout (7)
AMNESIAC	Worry in case Ma can't remember (8)
AMNESIC	Extremely forgetful editing of cinemas (7)
AMNESTY	Pardon me, nasty stranger (7)
AMOEBA	Stooge joining lawyer's group is a spineless lowlife (6)
AMOUNTS	Female relative's covering Maureen's costs? (7)
AMOUR	French love listening to a person like Othello (5)
AMOUR	Love our following morning (5)
AMP	Bit of current for rock blaster (3)
AMPERE	Before noon French father gets measurement (6)
AMPERSAND	Electrical units losing energy . . . and . . . and . . . (9)
AMPHIBIAN	Speaker with power (Irish), but no pith, develops a frog (9)
AMPHORA	Pot and speed injected into artery? Not true (7)
AMPLE	Abundant specimen doffing cap (5)
AMPLE	Uncovered selection is of considerable size (5)
AMPLITUDE	Fullness from meal I'd put out (9)
AMPLITUDE	Size made tulip fantastic (9)
AMULET	A stubborn animal, with true charm (6)
AMULET	Charm a stubborn one Tuesday (6)
AMULETS	A Greek character leaves charms (7)
AMUSEMENT	In morning, use me and part of the Bible for diversion (9)
ANAGRAM	How to get 1-Across from 26-Across with a horse and sheep (7)
ANAGRAM	Two animals follow a sort of cryptic clue (7)
ANAGRAMS	An old horse runs into assorted characters (8)
ANAIS	Chronicler's psychotherapist quoted (8)
ANALGESIC	A nice gal's gone for a pain reliever (9)
ANALGESIC	Aspirin for one gal in case feverish (9)
ANALYST	Ms. Turner returned to Club Street shrink (7)
ANARCHY	Chief among any political disorder (7)
ANARCHY	Curve interrupts any kind of chaos (7)
ANATHEMA	Curse: three articles must precede master's degree (8)
ANATHEMA	Pariah's rock ballad "Overcoming a Valkyrie (Part II)" (8)
ANCHORED	Stuck in Rancho Redondo (9)
ANDANTE	Dan divides pay slowly and evenly (7)
ANDANTINO	A little woodland ant in orchard is a bit slow (9)
ANDANTINO	Music direction on, in and at dances (9)
ANDES	Rumor has it Rooney's in the Peruvian peaks (5)
ANDIRON	Log support for unknown Housing Director (7)
ANDRENEARS	Giant with note; Advances from Asner misdirected
ANDROCLES	Old slave chewed up? Darn close (9)
ANDROID	A North Dakota Christian comes back like a man (7)
ANECDOTAL	Surprising clone data based on unscientific observations (9)
ANECDOTE	Short story inspires neat coed novel (8)
ANESTHESIOLOGY	Study of passing gas in dilapidated igloo: any theses? (14)
ANESTHETISTS	They put you to sleep with a little Teddy, tucked into new satin sheets (12)
ANEW	Wean off again (4)
ANGEL	Orange lipstick shows spirit (5)
ANGEL	Reprint Nagle's representation of goodness (5)
ANGLES	Fishes' points of view (6)
ANGLO	Non-Hispanic passage from Mexican glossary (5)
ANGORA	Silky wool found in Pyongyang or Anyang (6)
ANGST	Hangs tough, concealing apprehension (5)
ANGST	Unease from irritating gnats (5)
ANIMA	Mania distorted true inner self (5)
ANIMALS	Destroyed Manila's fauna (7)
ANIMALS	Manila's cuckoo birds, for example (7)
ANIMALS	Pull back scab's top layer to reveal beasties (7)
ANIMATE	Fire alert (7)
ANIMATING	Imparting zest to DiFranco wedding (9)
ANIMATION	I'm populating a country with lots of life (9)
ANIMOSITY	I say I'm not spreading hatred (9)
ANKH	Loop top attached to bottom! (4)
ANKLE	Thanklessly guards a joint (5)
ANKLES	An elk's deformity is located in the lower legs (5)
ANNEAL	Anne and Al's temper (6)
ANNOUNCES	Declares, "Ann put on a bit of weight" (9)
ANNOYS	Bothers listening to a sound (6)
ANNUL	Black-out unhinged LuAnn (5)
ANNUL	Yearly Aida opening is dropped, so cancel (5)
ANOINTMENT	Massage with oil, producing intent moan (10)
ANOMALOUS	Unusual? A French name, a short rogue (9)
ANON	Shortly cropped unknown (4)
ANONYMOUS	Any mouse nearly holding on is unacknowledged (9)
ANOXIC	One---no, eleven hundred---without air (6)
ANSEL	Nature photographer leans out (5)
ANSWERING	A set of directions, and an enclosure for responding (9)
ANTAGONIST	Opponent is not against bombing (10)
ANTARCTIC	Top cop gets into caper with skill from way down under (9)
ANTARCTICA	Art: I can act crazy in the deep deep South? (10)
ANTARES	Giant star, a Newton, gets allowances  (7)
ANTELOPES	Lions' prey is not asleep, unfortunately (9)
ANTEROOMNINA	Place to wait for turn around volcano -- and make it fast (8); French journalist and a girl in pictures? (4)
ANTI	Naysayer locked in partisan tit-for-tat (4)
ANTI	Opposed to being held in quarantine (4)
ANTIDEPRESSANTS	Worker ID badge finally leads to iron-workers' drugs (15)
ANTIETAM	A tie and hat from battle site (8)
ANTIPASTO	One pointer concerning appetizer assortment (9)
ANTIQUEATS	Quite an unusual old thing (7); [3]
ANTISKID	Guarding against slippery peril of outspoken first cousin? (8)
ANTITHETIC	Opposing ecclesiastical tax mired in tomfoolery (10)
ANTLERS	Buggy rentals with horns (7)
ANTONYM	Crazy man grabs NY theater award? Literally, just the opposite! (7)
ANTS	Hill-dwellers bothered Stan (4)
ANTSYFLASH	Group of elephants yet makes you nervous; Light Florida tree
ANVILIOTACUT	Farrier's tool found in Peruvian villages; Bit of regional plant, animal life uncovered; Share of copper source in Tunisia
ANVILS	Heavy blocks five wearing blue shades (6)
AORTA	Large vessel is berthed in China or Taiwan (5)
AORTA	Trunk is in gondola or taxi (5)
APACHERI	Native yearning after news group (6); [2]
APARTMENT	Flat tire's onset follows split board pieces (9)
APE	Copy of top ten missing (3)
APERCU	Outline, for reaper, cucumber harvest? (6)
APERCU	Probing look inside papercut (6)
APHIDS	Little green suckers hid in bubbling spa (6)
APHORISMS	Mishaps or odd sayings (9)
APIARIST	Drunken trip, as I settled behind a guy with lots of stingers (8)
APIARISTS	Foolishly I air spats of beekeepers (9)
APIECE	Each ace gets pie (6)
APIECE	Each expert receives a kind of chart (6)
APJYKWIG	Smiles about Crazy Mel's imaginary little devils (8)
APNEIC	An epic, exotically breathless (6)
APODA	A post office boy returning like a snake (6)
APOLLO	Handsome man's L.A. pool damaged (6)
APOP	For each a soda (1,3)
APOPLEXY	Male goes after forbidden fruit, filled with love and rage (8)
APOSTLE	Emily, the maven of etiquette, splits beer with Mark or Luke (7)
APOSTLE	Mail in beer to Thomas, for one (7)
APOSTLE	Religious figure in military base getting into booze (7)
APPEAL	Allure of a soft bell sound (6)
APPEALED	News service rang and asked for a new hearing (8)
APPELLATIONS	Names for US mountains discussed (12)
APPETIZER	Prize pate spread (9)
APPLEMACINTOSH	Funky laptop machine's like an iBook! (5,9)
APPOINTEDTIME	Impatient dope confused designated hour (9,4)
APRESSKI	In Alaska, push one indoor social activity (5-3)
APRIL	Shower time, Bonzo? Spring, I hear (5)
APRIORI	Assumed later in artificial intelligence?  Just the opposite! (1,6)
APSE	Run out missing the beginning of recess (4)
APTERYX	Ex dances in wild party with Kiwi (7)
APTITUDES	Better situated, keeping quiet and displaying talents (9)
AQUIFERS	Sources of blue spruce's whispering (8)
ARBORS	Roofless shelters converted into vine-covered structures (6)
ARCADES	Unpopular cad escorted around shopping malls (7)
ARCADIA	Song describing rat in a place of calm and beauty (7)
ARCH	Main part of cheddar cheese (4)
ARCH	Pre-eminent, with great formality, but no saint (4)
ARCHER	Sagittarius is more playful? (6)
ARCHIMEDES	Ancient Greek mathematician rang in... "Mars?" (10)
ARCHIMEDES	Noted mathematician rang in ... "Mars?" (10)
ARCHIPELAGOES	Cheaper oil, gas distributed in Island chains (13)
ARCHIVAL	Major competitor is decentralized with regard to official documents (8)
ARCHIVAL	Primary competitor loses heart regarding maintenance of records (8)
ARCHIVE	Record victory gained by Mr. Bunker (7)
ARCHIVED	Filed for divorce at the outset, after Veronica's first embraced by Archie (8)
ARCS	Cars crashed in curves (4)
ARCS	Cars travelling in circles, in part (4)
ARCTIC	Icy jerk shadows star's path (6)
ARDENT	Car, after the first impression, is 'hot' (6)
ARDENT	Impassioned radical ranted (6)
ARDENT	Passionate art outside of cozy room (6)
AREACODE	First three of ten entries are a set of laws (4,4)
ARENA	Bowl in a new time period toward sunset (5)
ARENA	Neighborhood has new stadium (5)
ARENA	Star enamored somewhat with scene (5)
ARGENTINA	Foul air reports in foreign country (9)
ARGO	Jason's boat is short gas (4)
ARGO	Mythical ship's limitless jargon (4)
ARGOTUDORS	Embargoes restricting ship (4); Rulers lying across stud or Sheetrock (6)
ARGUMENT	Crosswords(?) aren't about something sticky (8)
ARICA	See 33-Across
ARID	Initially, all retirees in Detroit like the desert (4)
ARIEL	Gershwin comes back on train with tortured spirit (5)
ARIEL	Little Mermaid's voice overhead (5)
ARIEL	Shakespeare character speaking overhead (5)
ARIES	Constellation seen at the end of documentaries (5)
ARIES	Sign changes after five (5)
ARIMATHEA	Mata Hari flitting around eastern part of old Palestine (9)
ARISTOTLE	Philosopher is rude to realist (9)
ARLINGTON	Burial place of a Kennedy girl, not an Askew (9)
ARLINGTON	Long train traveling to city near Washington (9)
ARMAMENT	Man-tamer rattled weaponry (8)
ARMANI	Equip an international designer (6)
ARMED	Fantastic dream of carrying weapons (5)
ARMED	Injured after face off and ready to shoot (5)
ARMFULS	Injurious after the onset, starting to show how much can be borne? (7)
ARMIES	God of War has 1001 forces (6)
ARMOIRE	Circulate more air in wardrobe (7)
ARMOR	Safeguard Arkansas-Missouri border, at last (5)
ARMPIT	Tramp meandering around one slum (6)
ARMS	Weapons obtained from sources of Aryan right-wing militia sect (4)
AROMA	Cupid: an upcoming fragrance (5)
AROMA	Rejected inamorata offers bouquet (5)
AROSE	Originated pointers to the audience (5)
AROUNDTHECLOCK	Hot chocolate drunk morning, noon and night (6,3,5)
ARRAIGN	Indict a sprinkling of reporters? (7)
ARRAIGNING	Charging a lot (10)
ARREST	Stop starer rudely (6)
ARRGH	After arrival, pair of ghosts making noise of frustration (5)
ARROW	Pointer: "Start off thin" (5)
ARSENAL	Elsa ran frantically for store (7)
ARSENALS	Stockpiles of weapons from questionable NRA sales (8)
ARSENIC	Coarse Nicaraguan conceals a dangerous element (7)
ARSREREESR	Monkey grabs south part of church; Grass animal returns; Rose Rasmus keeps times
ARTDECO	Redcoat shot with style (3,4)
ARTESIAN	Follower of rational philosophy, losing head, is ... kind of ... well ... (8)
ARTICLE	For example, an off-key recital (7)
ARTICLES	It clears out things (8)
ARTICLES	Newspaper reports of nervous reaction in southern French city (8)
ARTICULATE	Utter liar cut tea blend (10)
ARTISAN	A strain crippled master craftsman (7)
ARTISAN	Sinatra improved, becoming a master of his craft (7)
ARTS	Garfunkel's strategems (4)
ASAFETIDA	Chewed a fat aide's foul-smelling gum (9)
ASAP	A loser, initially in a hurry (4)
ASAP	Without delay, like the Associated Press (4)
ASARULE	Usually regret about loss follows start of stint in AA (2,1,4)
ASCENSION	Funny noises can rise from below (9)
ASCENT	Rise of an odor? (6)
ASCOT	Scarf free tacos (5)
ASCOT	Tie torn coats (7)
ASCOTS	Ties fool in bed? Just the opposite (6)
ASCRIBABL	Probably attributable to scale rabbi rebalanced (10)
ASH	Tree's burnt remains (3)
ASHAMEDLY	Malady she disguises with embarrassment (9)
ASHANTI	Result of firing against African tribe (7)
